"NAME","DATE","VALUE","ENDOGENIZE","TRANSFORM","X"
"yy_fs_imf_cad",2025,1.39651019173585,"yy_fs_imf_cad_res","pct",
"yy_fs_imf_cad",2026,7.08416559986742,"yy_fs_imf_cad_res","pct",
"yy_fs_imf_cad",2027,7.68297568843425,"yy_fs_imf_cad_res","pct",
"yy_fs_imf_cad",2028,4.27916270540851,"yy_fs_imf_cad_res","pct",
"yy_fs_imf_cad",2029,5.72816140703444,"yy_fs_imf_cad_res","pct",
"yy_fs_imf_tlb",2025,3.21161028918829,"yy_fs_imf_tlb_res","pct",
"yy_fs_imf_tlb",2026,6.83829173720238,"yy_fs_imf_tlb_res","pct",
"yy_fs_imf_tlb",2027,3.87202675445075,"yy_fs_imf_tlb_res","pct",
"yy_fs_imf_tlb",2028,4.88725515540442,"yy_fs_imf_tlb_res","pct",
"yy_fs_imf_tlb",2029,4.65613866797325,"yy_fs_imf_tlb_res","pct",
"yy_fs_imf_tlp",2025,31.3925839055848,"yy_fs_imf_tlp_res","pct",
"yy_fs_imf_tlp",2026,10.3910239439301,"yy_fs_imf_tlp_res","pct",
"yy_fs_imf_tlp",2027,-0.0512171271012774,"yy_fs_imf_tlp_res","pct",
"yy_fs_imf_tlp",2028,8.24914203250497,"yy_fs_imf_tlp_res","pct",
"yy_fs_imf_tlp",2029,1.56425918688119,"yy_fs_imf_tlp_res","pct",
"yy_fs_imf_tsd",2025,3.32481795345943,"yy_fs_imf_tsd_res","pct",
"yy_fs_imf_tsd",2026,4.09405451935242,"yy_fs_imf_tsd_res","pct",
"yy_fs_imf_tsd",2027,7.65838100653303,"yy_fs_imf_tsd_res","pct",
"yy_fs_imf_tsd",2028,4.45120192045698,"yy_fs_imf_tsd_res","pct",
"yy_fs_imf_tsd",2029,5.54289479242512,"yy_fs_imf_tsd_res","pct",
"yy_fs_nfsa_to",2025,1.54472896747207,"yy_fs_nfsa_to_res","pct",
"yy_fs_nfsa_to",2026,7.10286971511096,"yy_fs_nfsa_to_res","pct",
"yy_fs_nfsa_to",2027,0.803256326962899,"yy_fs_nfsa_to_res","pct",
"yy_fs_nfsa_to",2028,3.54818366616726,"yy_fs_nfsa_to_res","pct",
"yy_fs_nfsa_to",2029,5.69849825947353,"yy_fs_nfsa_to_res","pct",
"yy_fs_nfsl_to",2025,0.266221098342005,"yy_fs_nfsl_to_res","pct",
"yy_fs_nfsl_to",2026,5.81476603188726,"yy_fs_nfsl_to_res","pct",
"yy_fs_nfsl_to",2027,2.52685355369471,"yy_fs_nfsl_to_res","pct",
"yy_fs_nfsl_to",2028,3.30086606810379,"yy_fs_nfsl_to_res","pct",
"yy_fs_nfsl_to",2029,4.71431378517233,"yy_fs_nfsl_to_res","pct",
"yy_fs_ami",2020,0,"yy_fs_ami_res",,
"yy_fs_ami",2021,0,"yy_fs_ami_res",,
"yy_fs_ami",2022,0,"yy_fs_ami_res",,
"yy_fs_ami",2023,0,"yy_fs_ami_res",,
"yy_fs_ami",2024,0,"yy_fs_ami_res",,
"yy_fs_ami",2025,0,"yy_fs_ami_res",,
"yy_fs_ami",2026,0,"yy_fs_ami_res",,
"yy_fs_ami",2027,0,"yy_fs_ami_res",,
"yy_fs_ami",2028,0,"yy_fs_ami_res",,
"yy_fs_ami",2029,0,"yy_fs_ami_res",,
